category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
Standard,PenalizedFischerBurmeisterNewton,12,12,,1,17,0,0,1,0,925.62607283558884,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,0,0,1,1,0,0,0
Standard,PenalizedFischerBurmeisterNewton,24,24,,1,17,0,0,1,0,2508.9263644924335,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,0,0,1,1,0,0,0
Standard,PenalizedFischerBurmeisterNewton,48,48,,1,17,0,0,1,0,10860.061472212126,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,0,0,1,1,0,0,0
Standard,PenalizedFischerBurmeisterNewton,96,96,,1,17,0,0,1,0,46961.116883989896,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,0,0,1,1,0,0,0
Standard,Pgs,12,12,,1,5,0,1,0,0,1180.7049305318824,1,7,7.8354249541945364e-06,7.8354249541945364e-06,0,1,1,1,1,1,0,0,0
Standard,Pgs,24,24,,1,5,0,1,0,0,3083.8582089215888,1,7,0.00011082400373396695,0.00011082400373396695,0,1,1,1,1,1,0,0,0
Standard,Pgs,48,48,,1,5,0,1,0,0,9255.5993785895971,1,7,5.2575348725270032e-05,5.2575348725270032e-05,0,1,1,1,1,1,0,0,0
Standard,Pgs,96,96,,1,5,0,1,0,0,35284.119487410491,1,7,0.00027229451075072575,0.00027229451075072575,0,1,1,1,1,1,0,0,0
Standard,RedBlackGaussSeidel,12,12,,1,8,0,1,0,0,920.97337665445059,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,RedBlackGaussSeidel,24,24,,1,8,0,1,0,0,2606.9496273156446,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,RedBlackGaussSeidel,48,48,,1,8,0,1,0,0,10472.700246820395,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,RedBlackGaussSeidel,96,96,,1,8,0,1,0,0,62148.50588532033,1,7,0.037677578297760306,0.037677578297760306,0,1,1,1,1,1,0,0,0
Standard,Sap,12,12,,1,23,0,0,0,1,973.65517862582817,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,Sap,24,24,,1,23,0,0,0,1,2514.2048077151876,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,Sap,48,48,,1,23,0,0,0,1,10606.817056518696,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,Sap,96,96,,1,23,0,0,0,1,50536.227994989022,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,ShockPropagation,12,12,,1,20,0,0,0,1,915.62847724804249,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,ShockPropagation,24,24,,1,20,0,0,0,1,2467.079927804788,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,ShockPropagation,48,48,,1,20,0,0,0,1,9926.2590763290082,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,ShockPropagation,96,96,,1,20,0,0,0,1,44005.492633914691,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,SubspaceMinimization,12,12,,1,12,0,1,0,0,854.60433921201809,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,SubspaceMinimization,24,24,,1,12,0,1,0,0,2347.3547342855804,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,SubspaceMinimization,48,48,,1,12,0,1,0,0,9660.5131051365843,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,SubspaceMinimization,96,96,,1,12,0,1,0,0,43520.788853619597,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,SymmetricPsor,12,12,,1,6,0,1,0,0,922.52498720968424,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,SymmetricPsor,24,24,,1,6,0,1,0,0,2541.9835728733465,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,SymmetricPsor,48,48,,1,6,0,1,0,0,10494.076050620824,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,SymmetricPsor,96,96,,1,6,0,1,0,0,51768.085549863164,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,Tgs,12,12,,1,14,0,1,0,0,1085.589140435068,1,7,7.8354249559708933e-06,7.8354249559708933e-06,0,1,1,1,1,1,0,0,0
Standard,Tgs,24,24,,1,14,0,1,0,0,3089.0368626613636,1,7,0.00011082400374107237,0.00011082400374107237,0,1,1,1,1,1,0,0,0
Standard,Tgs,48,48,,1,14,0,1,0,0,8673.4542037114425,1,7,5.257534870395375e-05,5.257534870395375e-05,0,1,1,1,1,1,0,0,0
Standard,Tgs,96,96,,1,14,0,1,0,0,34915.956064233003,1,7,0.00027229451073651489,0.00027229451073651489,0,1,1,1,1,1,0,0,0
Boxed,Admm,12,12,,1,22,0,0,0,1,1262.0506904367533,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,Admm,24,24,,1,22,0,0,0,1,3365.5473824962692,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,Admm,48,48,,1,22,0,0,0,1,13034.665588543063,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,Apgd,12,12,,1,13,0,1,0,0,1254.9491476569237,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,Apgd,24,24,,1,13,0,1,0,0,3358.7789922174916,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,Apgd,48,48,,1,13,0,1,0,0,13756.225296518469,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,BGS,12,12,,1,10,0,1,0,0,1273.1918130369313,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,BGS,24,24,,1,10,0,1,0,0,3479.6365369234186,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,BGS,48,48,,1,10,0,1,0,0,13869.695589388344,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,BlockedJacobi,12,12,,1,9,0,1,0,0,1286.9353962030484,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
